1-1-12-345	Kiriwattuduwa South
1-1-12-350	Kiriwattuduwa North
1-1-12-355	Moonamale - Yakahaluwa
1-1-12-360	Kithulavila
1-1-12-365	Kahathuduwa North
1-1-12-370	Kahathuduwa East
1-1-12-375	Kahathuduwa South
1-1-12-380	Undurugoda
1-1-12-385	Wethara
1-1-12-390	Ambalangoda
1-1-12-395	Heraliyawala
1-1-12-400	Palagama
1-1-12-405	Weniwelkola
1-1-15-005	Bollathawa
1-1-15-010	Kanampella West
1-1-15-015	Kanampella East
1-1-15-020	Manakada
1-1-15-025	Eswatta North
1-1-15-030	Kiriwandala North
1-1-15-035	Kudagama
1-1-15-040	Weralupitiya
1-1-15-045	Seethagama
1-1-15-050	Avissawella
1-1-15-055	Ukwatta
1-1-15-060	Agra place
1-1-15-065	Eswatta South
1-1-15-070	Ihala Kosgama North
1-1-15-075	Thawalgoda
1-1-15-080	Muruthagama
1-1-15-085	Akaravita
1-1-15-090	Kahatapitiya
1-1-15-095	Kalu Aggala
1-1-15-100	Salawa
1-1-15-105	Pahala Kosagama West
1-1-15-110	Pahala Kosgama East
1-1-15-115	Ihala Kosgama South
1-1-15-120	Miriswatta
1-1-15-125	Aluth Ambalama
1-1-15-130	Kiriwandala South
1-1-15-135	Kotahera
1-1-15-140	Seethawaka
1-1-15-145	Aradhana Kanda
1-1-15-150	Puwakpitiya South
1-1-15-155	Puwakpitiya
1-1-15-160	Egodagama
1-1-15-165	Weragolla North
1-1-15-170	Hingurala
1-1-15-175	Kadugoada North
1-1-15-180	Mawalgama
1-1-15-185	Suduwella
1-1-15-190	Gira Imbula
1-1-15-195	Walauwathta
1-1-15-200	Pahala Hanwella
1-1-15-205	Hanwella Town
1-1-15-210	Ihala Hanwella North
1-1-15-215	Niripola
1-1-15-220	Brandigampala
1-1-15-225	Kadugoda South
1-1-15-230	Weragolla South
1-1-15-235	Digana
1-1-15-240	Lahirugama
1-1-15-245	Mabula
1-1-15-250	Welikanna
1-1-15-255	Kahahena
1-1-15-260	Neluwattuduwa
1-1-15-265	Diddeniya North
1-1-15-270	Ihala Hanwella South
1-1-15-275	Pahathgama
1-1-15-280	Jayaweeragoda
1-1-15-285	Koodaluvila
1-1-15-290	Thunnana East
1-1-15-295	Diddeniya South
1-1-15-300	Elamalawala
1-1-15-305	Ilukovita
1-1-15-310	Koswatta
1-1-15-315	Pagnagula
1-1-15-320	Pelpola
1-1-15-325	Kudakanda
1-1-15-330	Thunnana West
1-1-15-335	Mawathagama West
1-1-15-340	Mawathagama East
1-1-18-005	Pinnawala North
1-1-18-010	Pinnawala South
1-1-18-015	Waga North
1-1-18-020	Waga East
1-1-18-025	Thummodara
1-1-18-030	Waga South
1-1-18-035	Siyambalawa
1-1-18-040	Pahala Bope
1-1-18-045	Halpe
1-1-18-050	Waga West
1-1-18-055	Uggalla
1-1-18-060	Wewelpanawa
1-1-18-065	Pitumpe North
1-1-18-070	Pitumpe South
1-1-18-075	Galagedara East
1-1-18-080	Galagedara North
1-1-18-085	Galagedara South
1-1-18-090	Padukka
1-1-18-095	Arukwatta North
1-1-18-100	Arukwatta South
1-1-18-105	Ganegoda
1-1-18-110	Angampitiya
1-1-18-115	Weragala
1-1-18-120	Angamuwa
1-1-18-125	Udumulla
1-1-18-130	Poregedara
1-1-18-135	Pahala Padukka
1-1-18-140	Liyanwala
1-1-18-145	Kurugala
1-1-18-150	Madulawa South
1-1-18-155	Madulawa North
1-1-18-160	Horakandawala
1-1-18-165	Dampe
1-1-18-170	Beruketiya
1-1-18-175	Horagala West
1-1-18-180	Horagala East
1-1-18-185	Beliattavila
1-1-18-190	Miriyagalla
1-1-18-195	Malagala
1-1-18-200	Kahawala
1-1-18-205	Yatawathura
1-1-18-210	Mahingala
1-1-18-215	Ihala Bope
1-1-18-220	Gurulana
1-1-18-225	Udagama
1-1-18-230	Dabora
1-1-21-005	Mirihana South
1-1-21-010	Mirihana North
1-1-21-015	Madiwela
1-1-21-020	Thalawathugoda West
1-1-21-025	Thalawathugoda East
1-1-21-030	Kalalgoda
1-1-21-035	Kottawa East
1-1-21-040	Rukmale West
1-1-21-045	Rukmale East A
1-1-21-050	Rukmale East B
1-1-21-055	Liyanagoda
1-1-21-060	Kottawa North
1-1-21-065	Depanama
1-1-21-070	Polwatta
1-1-21-075	Pamunuwa
1-1-21-080	Thalapathpitiya
1-1-21-085	Pragathipura
1-1-21-090	Udahamulla East
1-1-21-095	Udahamulla West
1-1-21-100	Pathiragoda
1-1-21-105	Maharagama East
1-1-21-110	Maharagama West
1-1-21-115	Dambahena
1-1-21-120	Pannipitiya North
1-1-21-125	Kottawa West
1-1-21-130	Kottawa South
1-1-21-135	Malapalla West
1-1-21-140	Malapalla East
1-1-21-145	Makumbura North
1-1-21-150	Makumbura South
1-1-21-155	Kottawa Town
1-1-21-160	Pannipitiya South
1-1-21-165	Maharagama Town
1-1-21-170	Godigamuwa South
1-1-21-175	Godigamuwa South B
1-1-21-180	Godigamuwa North
1-1-21-185	Wattegedara
1-1-21-190	Navinna
1-1-21-195	Wijerama
1-1-21-200	Gangodavila South B
1-1-21-205	Jambugasmulla
1-1-24-005	Obesekarapura
1-1-24-010	Welikada West
1-1-24-015	Welikada East
1-1-24-020	Rajagiriya
1-1-24-025	Welikada North
1-1-24-030	Nawala West
1-1-24-035	Koswatta
1-1-24-040	Ethulkotte West
1-1-24-045	Ethulkotte
1-1-24-050	Pitakotte East
1-1-24-055	Pitakotte
1-1-24-060	Pitakotte West
1-1-24-065	Nawala  East
1-1-24-070	Nugegoda West
1-1-24-075	Pagoda
1-1-24-080	Nugegoda
1-1-24-085	Pagoda East
1-1-24-090	Gangodavila North
1-1-24-095	Gangodavila South
1-1-24-100	Gangodavila East
1-1-27-005	Kollupitiya
1-1-27-010	Bambalapitiya
1-1-27-015	Kurunduwatta
1-1-27-020	Kuppiyawatta West
1-1-27-025	Kuppiyawatta East
